Subject,Is_Calming_Music,Trial_Number,Difficulty,Letter_Ascii,Response_Time,Correct_Response,Actual_Response,Answered_Correctly
11,1,13,3,69,879,1,1,1
11,1,13,3,68,1181,1,1,1
11,1,13,3,88,659,1,1,1
11,1,13,3,81,83,1,1,1
11,1,13,3,79,596,1,1,1
11,1,13,3,88,1060,0,0,1
11,1,13,3,79,645,0,0,1
11,1,13,3,80,1457,1,1,1
11,1,13,3,84,476,1,1,1
11,1,13,3,87,564,1,1,1
11,1,14,3,88,800,0,0,1
11,1,14,3,75,210,0,0,1
11,1,14,3,74,488,1,1,1
11,1,14,3,77,420,1,1,1
11,1,14,3,71,1019,1,1,1
11,1,14,3,89,284,1,1,1
11,1,14,3,77,675,1,0,0
11,1,14,3,75,1083,1,1,1
11,1,14,3,69,895,1,1,1
11,1,14,3,83,1149,1,1,1
11,1,14,3,75,658,0,0,1
11,1,14,3,69,470,0,0,1
11,1,14,3,70,226,1,1,1
11,1,14,3,80,538,1,1,1
11,1,14,3,74,38,1,1,1
11,1,14,3,70,475,0,0,1
11,1,14,3,78,798,1,1,1
11,1,14,3,76,377,1,1,1
11,1,14,3,84,242,1,1,1
11,1,15,1,74,195,1,1,1
11,1,15,1,85,167,1,1,1
11,1,15,1,74,285,1,1,1
11,1,15,1,74,876,0,0,1
11,1,15,1,74,169,0,0,1
11,1,15,1,75,208,1,1,1
11,1,15,1,75,125,1,0,0
11,1,15,1,70,67,1,1,1
11,1,15,1,70,34,0,0,1
11,1,15,1,77,273,1,1,1
11,1,15,1,66,615,1,1,1
11,1,15,1,79,71,1,1,1
11,1,15,1,66,161,1,1,1
11,1,15,1,87,295,1,1,1
11,1,15,1,90,70,1,1,1
11,1,15,1,90,364,0,0,1
11,1,15,1,89,257,1,1,1
11,1,15,1,90,175,1,1,1
11,1,15,1,65,5,1,1,1
11,1,15,1,65,412,0,0,1
11,1,16,3,86,305,1,1,1
11,1,16,3,89,48,1,1,1
11,1,16,3,65,148,1,1,1
11,1,16,3,67,911,1,1,1
11,1,16,3,71,404,0,0,1
11,1,16,3,79,816,0,1,0
11,1,16,3,76,889,1,1,1
11,1,16,3,72,718,1,1,1
11,1,16,3,79,775,0,0,1
11,1,16,3,89,1147,1,1,1
11,1,16,3,72,365,0,0,1
11,1,16,3,73,1476,1,1,1
11,1,16,3,78,804,1,1,1
11,1,16,3,73,1129,1,1,1
11,1,16,3,68,542,1,1,1
11,1,16,3,78,407,0,0,1
11,1,16,3,87,548,1,1,1
11,1,17,1,84,1329,1,1,1
11,1,17,1,72,387,1,1,1
11,1,17,1,72,218,0,0,1
11,1,17,1,89,56,1,1,1
11,1,17,1,71,480,1,1,1
11,1,17,1,71,385,0,0,1
11,1,17,1,71,231,0,0,1
11,1,17,1,89,151,1,1,1
11,1,17,1,87,270,0,0,1
11,1,17,1,85,161,1,1,1
11,1,17,1,65,377,1,1,1
11,1,17,1,85,286,1,1,1
